,Unnamed: 0,의원명,병명,백신명,가격,의원위치,위도,경도
37,37,경희대학교병원,A형간염,하브릭스주 1ml,"75,000",서울 동대문구,37.593884,127.0513235
38,38,경희대학교병원,A형간염,박타프리필드 시린지 1ml,"70,000",서울 동대문구,37.593884,127.0513235
39,39,경희대학교병원,수두,수두박스주,"13,020",서울 동대문구,37.593884,127.0513235
40,40,경희대학교병원,수막구균,멘비오,"120,000",서울 동대문구,37.593884,127.0513235
41,41,경희대학교병원,신증후군출혈열,한타박스 0.5ml,"22,000",서울 동대문구,37.593884,127.0513235
42,42,경희대학교병원,사람유두종바이러스,가다실9프리필드시린지,"200,000",서울 동대문구,37.593884,127.0513235
43,43,경희대학교병원,사람유두종바이러스,서바릭스프리필드시린지,"140,000",서울 동대문구,37.593884,127.0513235
44,44,경희대학교병원,인플루엔자,지씨플루쿼드리밸런트프리필드시린지주,"40,000",서울 동대문구,37.593884,127.0513235
45,45,경희대학교병원,인플루엔자,박씨그리프테트라주,"30,000",서울 동대문구,37.593884,127.0513235
46,46,경희대학교병원,장티푸스,지로티프-주,"15,000",서울 동대문구,37.593884,127.0513235
47,47,경희대학교병원,"Td(파상풍, 디프테리아)",에스케이티디백신주,"30,000",서울 동대문구,37.593884,127.0513235
48,48,경희대학교병원,"Tdap(파상풍, 디프테리아, 백일해)",부스트릭스프리필드시린지,"50,000",서울 동대문구,37.593884,127.0513235
49,49,경희대학교병원,"Tdap(파상풍, 디프테리아, 백일해)",아다셀주,"40,000",서울 동대문구,37.593884,127.0513235
50,50,경희대학교병원,폐렴구균,신플로릭스프리필드시린지,"130,000",서울 동대문구,37.593884,127.0513235
51,51,경희대학교병원,폐렴구균,프로디악스-23,"40,000",서울 동대문구,37.593884,127.0513235
52,52,고려대학교의과대학부속구로병원,대상포진,조스타박스주,"150,000",서울 구로구,37.4922173,126.8849478
53,53,고려대학교의과대학부속구로병원,로타바이러스,로타텍액,"80,000",서울 구로구,37.4922173,126.8849478
54,54,고려대학교의과대학부속구로병원,로타바이러스,로타릭스프리필드,"100,000",서울 구로구,37.4922173,126.8849478
55,55,고려대학교의과대학부속구로병원,A형간염,박타프리필드 시린지 0.5ml,"40,000",서울 구로구,37.4922173,126.8849478
56,56,고려대학교의과대학부속구로병원,A형간염,박타프리필드 시린지 1ml,"70,000",서울 구로구,37.4922173,126.8849478
57,57,고려대학교의과대학부속구로병원,수두,수두박스주,"40,000",서울 구로구,37.4922173,126.8849478
58,58,고려대학교의과대학부속구로병원,수막구균,멘비오,"150,000",서울 구로구,37.4922173,126.8849478
59,59,고려대학교의과대학부속구로병원,신증후군출혈열,한타박스 0.5ml,"15,000",서울 구로구,37.4922173,126.8849478
60,60,고려대학교의과대학부속구로병원,사람유두종바이러스,가다실9프리필드시린지,"210,000",서울 구로구,37.4922173,126.8849478
61,61,고려대학교의과대학부속구로병원,사람유두종바이러스,가다실프리필드시린지,"180,000",서울 구로구,37.4922173,126.8849478
62,62,고려대학교의과대학부속구로병원,장티푸스,지로티프-주,"15,000",서울 구로구,37.4922173,126.8849478
63,63,고려대학교의과대학부속구로병원,"Tdap(파상풍, 디프테리아, 백일해)",부스트릭스프리필드시린지,"50,000",서울 구로구,37.4922173,126.8849478
64,64,고려대학교의과대학부속구로병원,폐렴구균,프리베나13주,"120,000",서울 구로구,37.4922173,126.8849478
65,65,고려대학교의과대학부속구로병원,폐렴구균,프로디악스-23프리필드시린지,"60,000",서울 구로구,37.4922173,126.8849478
66,66,고려대학교의과대학부속구로병원,폐렴구균,신플로릭스프리필드시린지,"120,000",서울 구로구,37.4922173,126.8849478
67,67,삼성서울병원,대상포진,조스타박스주,"153,200",서울 강남구,37.4889432,127.0876424
68,68,삼성서울병원,로타바이러스,로타릭스프리필드,"86,000",서울 강남구,37.4889432,127.0876424
69,69,삼성서울병원,로타바이러스,로타텍액,"80,000",서울 강남구,37.4889432,127.0876424
70,70,삼성서울병원,A형간염,박타프리필드 시린지 1ml,"73,200",서울 강남구,37.4889432,127.0876424
71,71,삼성서울병원,A형간염,박타프리필드 시린지 0.5ml,"39,000",서울 강남구,37.4889432,127.0876424
72,72,삼성서울병원,수두,수두박스주,"43,200",서울 강남구,37.4889432,127.0876424
73,73,삼성서울병원,수막구균,멘비오,"133,200",서울 강남구,37.4889432,127.0876424
74,74,삼성서울병원,사람유두종바이러스,가다실9프리필드시린지,"203,200",서울 강남구,37.4889432,127.0876424
75,75,삼성서울병원,사람유두종바이러스,서바릭스프리필드시린지,"151,200",서울 강남구,37.4889432,127.0876424
76,76,삼성서울병원,인플루엔자,지씨플루쿼드리밸런트프리필드시린지주,"28,200",서울 강남구,37.4889432,127.0876424
77,77,삼성서울병원,장티푸스,지로티프-주,"16,200",서울 강남구,37.4889432,127.0876424
78,78,삼성서울병원,"Td(파상풍, 디프테리아)",에스케이티디백신주,"28,200",서울 강남구,37.4889432,127.0876424
79,79,삼성서울병원,"Tdap(파상풍, 디프테리아, 백일해)",부스트릭스프리필드시린지,"43,200",서울 강남구,37.4889432,127.0876424
80,80,삼성서울병원,폐렴구균,프리베나13주,"130,200",서울 강남구,37.4889432,127.0876424
81,81,삼성서울병원,폐렴구균,프로디악스-23프리필드시린지,"29,200",서울 강남구,37.4889432,127.0876424
82,82,서울대학교병원,대상포진,조스타박스주,"137,397",서울 종로구,37.5787439,126.9975578
83,83,서울대학교병원,로타바이러스,로타텍액,"59,280",서울 종로구,37.5787439,126.9975578
84,84,서울대학교병원,A형간염,박타프리필드 시린지 1ml,"42,771",서울 종로구,37.5787439,126.9975578
85,85,서울대학교병원,A형간염,박타프리필드 시린지 0.5ml,"19,455",서울 종로구,37.5787439,126.9975578
86,86,서울대학교병원,수두,스카이바리셀라주,"17,627",서울 종로구,37.5787439,126.9975578
87,87,서울대학교병원,수막구균,멘비오,"108,761",서울 종로구,37.5787439,126.9975578
88,88,서울대학교병원,사람유두종바이러스,가다실9프리필드시린지,"157,348",서울 종로구,37.5787439,126.9975578
89,89,서울대학교병원,사람유두종바이러스,서바릭스프리필드시린지,"73,129",서울 종로구,37.5787439,126.9975578
90,90,서울대학교병원,사람유두종바이러스,서바릭스프리필드시린지,"73,129",서울 종로구,37.5787439,126.9975578
91,91,서울대학교병원,인플루엔자,지씨플루쿼드리밸런트프리필드시린지주,"16,882",서울 종로구,37.5787439,126.9975578
92,92,서울대학교병원,인플루엔자,보령플루Ⅴ테트라백신주,"16,445",서울 종로구,37.5787439,126.9975578
93,93,서울대학교병원,인플루엔자,스카이셀플루4가프리필드시린지,"18,494",서울 종로구,37.5787439,126.9975578
94,94,서울대학교병원,장티푸스,지로티프-주,"11,393",서울 종로구,37.5787439,126.9975578
95,95,서울대학교병원,"Td(파상풍, 디프테리아)",에스케이티디백신주,"17,598",서울 종로구,37.5787439,126.9975578
96,96,서울대학교병원,"Tdap(파상풍, 디프테리아, 백일해)",부스트릭스프리필드시린지,"26,978",서울 종로구,37.5787439,126.9975578
97,97,서울대학교병원,폐렴구균,프리베나13주,"77,866",서울 종로구,37.5787439,126.9975578
98,98,서울대학교병원,폐렴구균,프로디악스-23프리필드시린지,"29,195",서울 종로구,37.5787439,126.9975578
99,99,연세대학교의과대학 강남세브란스병원,대상포진,스카이조스터주,"114,400",서울 강남구,37.492736,127.0462661
100,100,연세대학교의과대학 강남세브란스병원,대상포진,조스타박스주,"169,000",서울 강남구,37.492736,127.0462661
101,101,연세대학교의과대학 강남세브란스병원,로타바이러스,로타텍액,"87,000",서울 강남구,37.492736,127.0462661
102,102,연세대학교의과대학 강남세브란스병원,로타바이러스,로타릭스프리필드,"130,000",서울 강남구,37.492736,127.0462661
103,103,연세대학교의과대학 강남세브란스병원,A형간염,하브릭스주 1ml,"54,340",서울 강남구,37.492736,127.0462661
104,104,연세대학교의과대학 강남세브란스병원,A형간염,박타주 0.5ml,"19,650",서울 강남구,37.492736,127.0462661
105,105,연세대학교의과대학 강남세브란스병원,A형간염,박타프리필드 시린지 1ml,"67,600",서울 강남구,37.492736,127.0462661
106,106,연세대학교의과대학 강남세브란스병원,A형간염,박타프리필드 시린지 0.5ml,"19,650",서울 강남구,37.492736,127.0462661
107,107,연세대학교의과대학 강남세브란스병원,A형간염,아박심160U성인용주,"55,900",서울 강남구,37.492736,127.0462661
108,108,연세대학교의과대학 강남세브란스병원,수두,수두박스주,"16,930",서울 강남구,37.492736,127.0462661
109,109,연세대학교의과대학 강남세브란스병원,수막구균,메낙트라주,"100,100",서울 강남구,37.492736,127.0462661
110,110,연세대학교의과대학 강남세브란스병원,수막구균,멘비오,"127,400",서울 강남구,37.492736,127.0462661
111,111,연세대학교의과대학 강남세브란스병원,사람유두종바이러스,가다실9프리필드시린지,"208,000",서울 강남구,37.492736,127.0462661
112,112,연세대학교의과대학 강남세브란스병원,사람유두종바이러스,서바릭스프리필드시린지,"130,000",서울 강남구,37.492736,127.0462661
113,113,연세대학교의과대학 강남세브란스병원,인플루엔자,플루아릭스테트라프리필드시린지,"26,000",서울 강남구,37.492736,127.0462661
114,114,연세대학교의과대학 강남세브란스병원,인플루엔자,박씨그리프테트라주,"27,000",서울 강남구,37.492736,127.0462661
115,115,연세대학교의과대학 강남세브란스병원,"Td(파상풍, 디프테리아)",에스케이티디백신주,"16,490",서울 강남구,37.492736,127.0462661
116,116,연세대학교의과대학 강남세브란스병원,"Tdap(파상풍, 디프테리아, 백일해)",부스트릭스프리필드시린지,"26,120",서울 강남구,37.492736,127.0462661
117,117,연세대학교의과대학 강남세브란스병원,폐렴구균,프로디악스-23프리필드시린지,"31,200",서울 강남구,37.492736,127.0462661
118,118,연세대학교의과대학 강남세브란스병원,폐렴구균,프로디악스-23,"32,500",서울 강남구,37.492736,127.0462661
119,119,연세대학교의과대학 강남세브란스병원,폐렴구균,신플로릭스프리필드시린지,"68,840",서울 강남구,37.492736,127.0462661
120,120,연세대학교의과대학 강남세브란스병원,폐렴구균,신플로릭스프리필드시린지,"68,840",서울 강남구,37.492736,127.0462661
121,121,이화여자대학교의과대학부속목동병원,대상포진,조스타박스주,"180,000",서울 양천구,37.53637940000001,126.8864324
122,122,이화여자대학교의과대학부속목동병원,로타바이러스,로타릭스프리필드,"120,000",서울 양천구,37.53637940000001,126.8864324
123,123,이화여자대학교의과대학부속목동병원,A형간염,하브릭스주 1ml,"70,000",서울 양천구,37.53637940000001,126.8864324
124,124,이화여자대학교의과대학부속목동병원,A형간염,하브릭스주 0.5ml,"41,000",서울 양천구,37.53637940000001,126.8864324
125,125,이화여자대학교의과대학부속목동병원,수두,수두박스주,"33,000",서울 양천구,37.53637940000001,126.8864324
126,126,이화여자대학교의과대학부속목동병원,수막구균,메낙트라주,"103,480",서울 양천구,37.53637940000001,126.8864324
127,127,이화여자대학교의과대학부속목동병원,수막구균,멘비오,"130,000",서울 양천구,37.53637940000001,126.8864324
128,128,이화여자대학교의과대학부속목동병원,사람유두종바이러스,가다실프리필드시린지,"180,000",서울 양천구,37.53637940000001,126.8864324
129,129,이화여자대학교의과대학부속목동병원,사람유두종바이러스,가다실9프리필드시린지,"210,000",서울 양천구,37.53637940000001,126.8864324
130,130,이화여자대학교의과대학부속목동병원,인플루엔자,보령플루Ⅷ테트라백신주,"30,000",서울 양천구,37.53637940000001,126.8864324
131,131,이화여자대학교의과대학부속목동병원,인플루엔자,지씨플루쿼드리밸런트프리필드시린지주,"35,000",서울 양천구,37.53637940000001,126.8864324
132,132,이화여자대학교의과대학부속목동병원,장티푸스,지로티프-주,"15,000",서울 양천구,37.53637940000001,126.8864324
133,133,이화여자대학교의과대학부속목동병원,"Td(파상풍, 디프테리아)",녹십자티디백신프리필드시린지주,"30,000",서울 양천구,37.53637940000001,126.8864324
134,134,이화여자대학교의과대학부속목동병원,"Tdap(파상풍, 디프테리아, 백일해)",아다셀주,"40,000",서울 양천구,37.53637940000001,126.8864324
135,135,이화여자대학교의과대학부속목동병원,"Tdap(파상풍, 디프테리아, 백일해)",부스트릭스프리필드시린지,"40,000",서울 양천구,37.53637940000001,126.8864324
136,136,이화여자대학교의과대학부속목동병원,폐렴구균,신플로릭스프리필드시린지,"130,000",서울 양천구,37.53637940000001,126.8864324
137,137,이화여자대학교의과대학부속목동병원,폐렴구균,프리베나13주,"130,000",서울 양천구,37.53637940000001,126.8864324
138,138,재단법인아산사회복지재단 서울아산병원,대상포진,조스타박스주,"170,000",서울 송파구,37.5275097,127.1090966
139,139,재단법인아산사회복지재단 서울아산병원,로타바이러스,로타릭스프리필드,"110,000",서울 송파구,37.5275097,127.1090966
140,140,재단법인아산사회복지재단 서울아산병원,로타바이러스,로타텍액,"81,000",서울 송파구,37.5275097,127.1090966
141,141,재단법인아산사회복지재단 서울아산병원,A형간염,하브릭스주 0.5ml,"61,000",서울 송파구,37.5275097,127.1090966
142,142,재단법인아산사회복지재단 서울아산병원,A형간염,박타주 0.5ml,"40,000",서울 송파구,37.5275097,127.1090966
143,143,재단법인아산사회복지재단 서울아산병원,A형간염,박타프리필드 시린지 0.5ml,"40,000",서울 송파구,37.5275097,127.1090966
144,144,재단법인아산사회복지재단 서울아산병원,A형간염,박타프리필드 시린지 1ml,"80,000",서울 송파구,37.5275097,127.1090966
145,145,재단법인아산사회복지재단 서울아산병원,A형간염,아박심160U성인용주,"80,000",서울 송파구,37.5275097,127.1090966
146,146,재단법인아산사회복지재단 서울아산병원,A형간염,하브릭스주 1ml,"80,000",서울 송파구,37.5275097,127.1090966
147,147,재단법인아산사회복지재단 서울아산병원,A형간염,아박심80U소아용주,"40,000",서울 송파구,37.5275097,127.1090966
148,148,재단법인아산사회복지재단 서울아산병원,수두,수두박스주,"45,400",서울 송파구,37.5275097,127.1090966
149,149,재단법인아산사회복지재단 서울아산병원,수막구균,멘비오,"131,000",서울 송파구,37.5275097,127.1090966
150,150,재단법인아산사회복지재단 서울아산병원,신증후군출혈열,한타박스 0.5ml,"11,000",서울 송파구,37.5275097,127.1090966
151,151,재단법인아산사회복지재단 서울아산병원,사람유두종바이러스,가다실9프리필드시린지,"201,000",서울 송파구,37.5275097,127.1090966
152,152,재단법인아산사회복지재단 서울아산병원,사람유두종바이러스,가다실프리필드시린지,"161,000",서울 송파구,37.5275097,127.1090966
153,153,재단법인아산사회복지재단 서울아산병원,사람유두종바이러스,서바릭스프리필드시린지,"160,000",서울 송파구,37.5275097,127.1090966
154,154,재단법인아산사회복지재단 서울아산병원,인플루엔자,플루아릭스테트라프리필드시린지,"30,000",서울 송파구,37.5275097,127.1090966
155,155,재단법인아산사회복지재단 서울아산병원,인플루엔자,지씨플루쿼드리밸런트프리필드시린지주,"25,000",서울 송파구,37.5275097,127.1090966
156,156,재단법인아산사회복지재단 서울아산병원,인플루엔자,스카이셀플루4가프리필드시린지,"25,000",서울 송파구,37.5275097,127.1090966
157,157,재단법인아산사회복지재단 서울아산병원,장티푸스,지로티프-주,"9,000",서울 송파구,37.5275097,127.1090966
158,158,재단법인아산사회복지재단 서울아산병원,"Tdap(파상풍, 디프테리아, 백일해)",아다셀주,"30,000",서울 송파구,37.5275097,127.1090966
159,159,재단법인아산사회복지재단 서울아산병원,"Tdap(파상풍, 디프테리아, 백일해)",부스트릭스프리필드시린지,"31,000",서울 송파구,37.5275097,127.1090966
160,160,재단법인아산사회복지재단 서울아산병원,폐렴구균,프리베나13주,"130,000",서울 송파구,37.5275097,127.1090966
161,161,재단법인아산사회복지재단 서울아산병원,폐렴구균,프로디악스-23프리필드시린지,"31,000",서울 송파구,37.5275097,127.1090966
162,162,재단법인아산사회복지재단 서울아산병원,폐렴구균,신플로릭스프리필드시린지,"100,000",서울 송파구,37.5275097,127.1090966
163,163,중앙대학교병원,대상포진,조스타박스주,"159,600",서울 동작구,37.5068094,126.9608074
164,164,중앙대학교병원,로타바이러스,로타텍액,"78,770",서울 동작구,37.5068094,126.9608074
165,165,중앙대학교병원,로타바이러스,로타릭스프리필드,"90,560",서울 동작구,37.5068094,126.9608074
166,166,중앙대학교병원,A형간염,박타프리필드 시린지 1ml,"45,000",서울 동작구,37.5068094,126.9608074
167,167,중앙대학교병원,A형간염,아박심160U성인용주,"51,600",서울 동작구,37.5068094,126.9608074
168,168,중앙대학교병원,A형간염,박타주 0.5ml,"35,000",서울 동작구,37.5068094,126.9608074
169,169,중앙대학교병원,A형간염,하브릭스주 0.5ml,"35,000",서울 동작구,37.5068094,126.9608074
170,170,중앙대학교병원,A형간염,하브릭스주 0.5ml,"35,000",서울 동작구,37.5068094,126.9608074
171,171,중앙대학교병원,수두,수두박스주,"26,000",서울 동작구,37.5068094,126.9608074
172,172,중앙대학교병원,수막구균,멘비오,"120,000",서울 동작구,37.5068094,126.9608074
173,173,중앙대학교병원,사람유두종바이러스,가다실9프리필드시린지,"210,000",서울 동작구,37.5068094,126.9608074
174,174,중앙대학교병원,사람유두종바이러스,가다실프리필드시린지,"170,000",서울 동작구,37.5068094,126.9608074
175,175,중앙대학교병원,인플루엔자,플루아릭스테트라프리필드시린지,"35,000",서울 동작구,37.5068094,126.9608074
176,176,중앙대학교병원,인플루엔자,스카이셀플루4가프리필드시린지,"40,000",서울 동작구,37.5068094,126.9608074
177,177,중앙대학교병원,장티푸스,지로티프-주,"11,760",서울 동작구,37.5068094,126.9608074
178,178,중앙대학교병원,"Td(파상풍, 디프테리아)",에스케이티디백신주,"30,000",서울 동작구,37.5068094,126.9608074
179,179,중앙대학교병원,"Td(파상풍, 디프테리아)",티디퓨어주,"30,000",서울 동작구,37.5068094,126.9608074
180,180,중앙대학교병원,"Tdap(파상풍, 디프테리아, 백일해)",부스트릭스프리필드시린지,"22,800",서울 동작구,37.5068094,126.9608074
181,181,중앙대학교병원,"Tdap(파상풍, 디프테리아, 백일해)",아다셀주,"23,630",서울 동작구,37.5068094,126.9608074
182,182,중앙대학교병원,폐렴구균,프로디악스-23,"35,000",서울 동작구,37.5068094,126.9608074
183,183,중앙대학교병원,폐렴구균,프리베나13주,"130,000",서울 동작구,37.5068094,126.9608074
184,184,중앙대학교병원,폐렴구균,신플로릭스프리필드시린지,"109,000",서울 동작구,37.5068094,126.9608074
185,185,중앙대학교병원,폐렴구균,프로디악스-23프리필드시린지,"28,800",서울 동작구,37.5068094,126.9608074
186,186,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),대상포진,조스타박스주,"150,000",서울 성북구,37.5870416,127.0265402
187,187,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),로타바이러스,로타텍액,"90,000",서울 성북구,37.5870416,127.0265402
188,188,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),로타바이러스,로타릭스프리필드,"100,000",서울 성북구,37.5870416,127.0265402
189,189,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),A형간염,하브릭스주 1ml,"70,000",서울 성북구,37.5870416,127.0265402
190,190,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),A형간염,박타프리필드 시린지 1ml,"70,000",서울 성북구,37.5870416,127.0265402
191,191,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),수두,수두박스주,"32,030",서울 성북구,37.5870416,127.0265402
192,192,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),수막구균,멘비오,"150,000",서울 성북구,37.5870416,127.0265402
193,193,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),신증후군출혈열,한타박스 0.5ml,"15,000",서울 성북구,37.5870416,127.0265402
194,194,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),사람유두종바이러스,가다실프리필드시린지,"180,000",서울 성북구,37.5870416,127.0265402
195,195,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),사람유두종바이러스,서바릭스프리필드시린지,"150,000",서울 성북구,37.5870416,127.0265402
196,196,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),사람유두종바이러스,가다실9프리필드시린지,"210,000",서울 성북구,37.5870416,127.0265402
197,197,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),장티푸스,지로티프-주,"15,000",서울 성북구,37.5870416,127.0265402
198,198,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),"Td(파상풍, 디프테리아)",녹십자티디백신프리필드시린지주,"31,690",서울 성북구,37.5870416,127.0265402
199,199,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),"Tdap(파상풍, 디프테리아, 백일해)",부스트릭스프리필드시린지,"50,000",서울 성북구,37.5870416,127.0265402
200,200,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),폐렴구균,프로디악스-23프리필드시린지,"41,280",서울 성북구,37.5870416,127.0265402
201,201,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),폐렴구균,프리베나13주,"120,000",서울 성북구,37.5870416,127.0265402
202,202,학교법인가톨릭학원가톨릭대학교서울성모병원,대상포진,조스타박스주,"169,000",서울 서초구,37.5017688,127.0047906
203,203,학교법인가톨릭학원가톨릭대학교서울성모병원,로타바이러스,로타텍액,"71,400",서울 서초구,37.5017688,127.0047906
204,204,학교법인가톨릭학원가톨릭대학교서울성모병원,로타바이러스,로타릭스프리필드,"100,100",서울 서초구,37.5017688,127.0047906
205,205,학교법인가톨릭학원가톨릭대학교서울성모병원,A형간염,박타프리필드 시린지 1ml,"43,400",서울 서초구,37.5017688,127.0047906
206,206,학교법인가톨릭학원가톨릭대학교서울성모병원,A형간염,박타주 0.5ml,"19,650",서울 서초구,37.5017688,127.0047906
207,207,학교법인가톨릭학원가톨릭대학교서울성모병원,A형간염,아박심160U성인용주,"42,900",서울 서초구,37.5017688,127.0047906
208,208,학교법인가톨릭학원가톨릭대학교서울성모병원,수두,수두박스주,"16,930",서울 서초구,37.5017688,127.0047906
209,209,학교법인가톨릭학원가톨릭대학교서울성모병원,수막구균,멘비오,"110,110",서울 서초구,37.5017688,127.0047906
210,210,학교법인가톨릭학원가톨릭대학교서울성모병원,사람유두종바이러스,가다실9프리필드시린지,"191,676",서울 서초구,37.5017688,127.0047906
211,211,학교법인가톨릭학원가톨릭대학교서울성모병원,사람유두종바이러스,서바릭스프리필드시린지,"73,520",서울 서초구,37.5017688,127.0047906
212,212,학교법인가톨릭학원가톨릭대학교서울성모병원,사람유두종바이러스,가다실프리필드시린지,"162,400",서울 서초구,37.5017688,127.0047906
213,213,학교법인가톨릭학원가톨릭대학교서울성모병원,인플루엔자,지씨플루쿼드리밸런트프리필드시린지주,"11,700",서울 서초구,37.5017688,127.0047906
214,214,학교법인가톨릭학원가톨릭대학교서울성모병원,장티푸스,지로티프-주,"7,800",서울 서초구,37.5017688,127.0047906
215,215,학교법인가톨릭학원가톨릭대학교서울성모병원,"Td(파상풍, 디프테리아)",에스케이티디백신주,"30,000",서울 서초구,37.5017688,127.0047906
216,216,학교법인가톨릭학원가톨릭대학교서울성모병원,"Tdap(파상풍, 디프테리아, 백일해)",아다셀주,"26,120",서울 서초구,37.5017688,127.0047906
217,217,학교법인가톨릭학원가톨릭대학교서울성모병원,"Tdap(파상풍, 디프테리아, 백일해)",부스트릭스프리필드시린지,"26,120",서울 서초구,37.5017688,127.0047906
218,218,학교법인가톨릭학원가톨릭대학교서울성모병원,폐렴구균,신플로릭스프리필드시린지,"68,840",서울 서초구,37.5017688,127.0047906
219,219,학교법인가톨릭학원가톨릭대학교서울성모병원,폐렴구균,프로디악스-23프리필드시린지,"28,960",서울 서초구,37.5017688,127.0047906
220,220,학교법인가톨릭학원가톨릭대학교서울성모병원,폐렴구균,프로디악스-23프리필드시린지,"28,960",서울 서초구,37.5017688,127.0047906
221,221,학교법인연세대학교의과대학세브란스병원,대상포진,조스타박스주,"173,100",서울 서대문구,37.5623371,126.9408692
